date_long,year,id_no,country,region,source,latitude,longitude,magnitude_body,magnitude_surface,depth,yield_lower,yield_upper,purpose,name,type,purpose1,type1
1945-07-16,1945,45001,USA,ALAMOGORDO,DOE,32.54,-105.57,0.0,0.0,-0.1,21.0,21.0,WR,TRINITY,TOWER,WR,ATMOSPH
1945-08-05,1945,45002,USA,HIROSHIMA,DOE,34.23,132.27,0.0,0.0,-0.6,15.0,15.0,COMBAT,LITTLEBOY,AIRDROP,COMBAT,ATMOSPH
1945-08-09,1945,45003,USA,NAGASAKI,DOE,32.45,129.52,0.0,0.0,-0.6,21.0,21.0,COMBAT,FATMAN,AIRDROP,COMBAT,ATMOSPH
1946-06-30,1946,46001,USA,BIKINI,DOE,11.35,165.2,0.0,0.0,-0.2,21.0,21.0,WE,ABLE,AIRDROP,PNE,ATMOSPH
1946-07-24,1946,46002,USA,BIKINI,DOE,11.35,165.2,0.0,0.0,0.03,21.0,21.0,WE,BAKER,UW,PNE,UNDERWATER
1948-04-14,1948,48001,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.08,37.0,37.0,WR,X-RAY,TOWER,WR,ATMOSPH
1948-04-30,1948,48002,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.08,49.0,49.0,WR,YOKE,TOWER,WR,ATMOSPH
1948-05-14,1948,48003,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.08,18.0,18.0,WR,ZEBRA,TOWER,WR,ATMOSPH
1949-08-29,1949,49001,USSR,SEMI KAZAKH,DOE,48.0,76.0,0.0,0.0,0.0,22.0,22.0,WR,,SURFACE,WR,ATMOSPH
1951-01-27,1951,51001,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.35,1.0,1.0,WR,ABLE,AIRDROP,WR,ATMOSPH
1951-01-28,1951,51002,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.35,8.0,8.0,WR,BAKER,AIRDROP,WR,ATMOSPH
1951-02-01,1951,51003,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.35,1.0,1.0,WR,EASY,AIRDROP,WR,ATMOSPH
